Bait ORF name*	Bait description	Approx. bait start	Approx. bait end	Prey ORF name*	Prey Description	Approx. prey start	Approx. prey end	Number of independent yeast two-hybrid searches that found this interaction	Cummulative number of times this interaction was observed	Number of prey that interact with this bait	Number of baits that interact with this prey	Self or reciprocal interaction
chr13_1000012.gen_6	putative HSP protein	10693	10224	MAL13P1.63	Plasmodium falciparum asparagine-rich protein 	1956	2081	1	1	6	4
chr13_1000012.gen_6	putative HSP protein	10693	10183	PF13_0235	hypothetical protein 	8109	8200	1	1	6	1
chr13_1000012.gen_6	putative HSP protein	10693	10215	PFB0935w	cytoadherence linked asexual protein 2 (CLAG2) 	171	353	1	1	6	3
chr13_1000012.gen_6	putative HSP protein	10693	10214	PFF0835w	hypothetical protein 	130	253	1	1	6	20
chr13_1000012.gen_6	putative HSP protein	10782	10343	PFF1220w	hypothetical protein 	895	1053	2	2	6	3
chr13_1000012.gen_6	putative HSP protein	10793	10304	PFL0130c	"hypothetical protein, conserved "	1269	1650	1	1	6	5
chr13_2000027.gen_4	histidine rich protein precursor	12533	12151	PFE0070w	"interspersed repeat antigen, putative "	4266	4442	1	5	1	11
chr13_4000026.gen_1	FimA-like	1637	1415	MAL13P1.135	"SNARE protein homologue, putative "	342	626	1	1	5	1
chr13_4000026.gen_1	FimA-like	1637	1415	PFE0770w	hypothetical protein 	108	568	1	1	5	9
chr13_4000026.gen_1	FimA-like	1637	1415	PFE1225w	"50S ribosomal subunit protein L12, putative "	297	503	1	1	5	13
chr13_4000026.gen_1	FimA-like	1637	1432	PFE1465w	hypothetical protein 	4008	4271	1	2	5	5
chr13_4000026.gen_1	FimA-like	1637	1415	PFL2520w	"reticulocyte-binding protein, putative "	2037	2192	1	1	5	2
chr6_000064.gen_10	hypothetical protein	27160	26853	MAL7P1.20	peptide chain release factor 	653	869	1	1	4	2
chr6_000064.gen_10	hypothetical protein	27160	27069	PF14_0649	hypothetical protein 	7026	7478	1	4	4	6
chr6_000064.gen_10	hypothetical protein	27070	26885	PFC1045c	hypothetical protein 	1901	2351	2	2	4	4
chr6_000064.gen_10	hypothetical protein	27084	26824	PFF1185w	iswi protein homologue 	4537	4700	1	1	4	15
chr7_000020.gen_1	HRP-II like	2069	2308	MAL8P1.153	hypothetical protein 	6952	7002	1	1	9	13
chr7_000020.gen_1	HRP-II like	2178	2311	PF11_0098	endoplasmic reticulum-resident calcium binding protein 	114	460	1	1	9	7
chr7_000020.gen_1	HRP-II like	1841	2205	PF13_0056	hypothetical protein 	1553	1862	1	1	9	1
chr7_000020.gen_1	HRP-II like	1832	2276	PF13_0076	hypothetical protein 	459	617	2	2	9	5
chr7_000020.gen_1	HRP-II like	1840	2218	PFC0390w	"hypothetical protein, conserved "	1523	1768	1	1	9	7
chr7_000020.gen_1	HRP-II like	1832	2354	PFC1045c	hypothetical protein 	1901	2600	10	18	9	4	reciprocal
chr7_000020.gen_1	HRP-II like	1832	2254	PFE0070w	"interspersed repeat antigen, putative "	4549	4915	1	2	9	11	reciprocal
chr7_000020.gen_1	HRP-II like	1832	2527	PFF1185w	iswi protein homologue 	4090	4805	28	96	9	15
chr7_000020.gen_1	HRP-II like	1832	2560	PFL1705w	hypothetical protein 	286	594	8	8	9	6
chr7_000093.gen_2	HSP70-like	9717	9384	PFF0805c	hypothetical protein 	233	350	1	1	2	2
chr7_000093.gen_2	HSP70-like	9557	9123	PFI1640c	hypothetical protein 	135	555	1	1	2	2
chrBLOB_003428.gen_1	"kinesin, putative"	1891	2028	MAL13P1.222	hypothetical protein 	1905	2147	1	1	4	3
chrBLOB_003428.gen_1	"kinesin, putative"	1891	2028	MAL8P1.104	hypothetical protein 	3962	4110	1	1	4	12
chrBLOB_003428.gen_1	"kinesin, putative"	1891	2028	PFI0225w	hypothetical protein 	2406	2565	1	1	4	15
